SpeciesID,Sensitive,Kingdom,Phylum,Class,Order,Family,InformalTaxonomicGroup,TaxonomicLevel,ScientificName,CommonName_EN,CommonName_FR,Subspecies_EN,Subspecies_FR,Population_EN,Population_FR,BirdAlphaCode,BCSpeciesID,WDKBASpecRecID,IUCNTaxonID,IUCNAssessmentID,IUCNStatusID,IUCNStatusCriteria,IUCNAssessmentDate,IUCNPopulationTrend,IUCNLink,COSEWICTaxonID,COSEWICStatusID,COSEWICStatusCriteria,COSEWICAssessmentDate,SARAStatus,SARAAssessmentDate,COSEWICLink,NSElementCode,NSGlobalUniqueID,NSElementGlobalID,NSGRank,NSGRankReviewDate,NSNRank,NSNRankReviewDate,NSLink,Systems,Endemism,Range,Range_EN,Range_FR,GlobalPopulationSize,ContinentalPopulationSize,NationalPopulationSize,CitationGlobalPopulation,CitationContinentalPopulation,CitationNationalPopulation,NationalTrend,CitationNationalTrend,cosewic,iunc,sites
161,,Animalia,Mollusca,Bivalvia,Unionoida,Unionidae,Invertebrates,Population,"Quadrula quadrula pop. 1","Mapleleaf Mussel","Mulette feuille d'érable",,,"Saskatchewan - Nelson Rivers Population","population de la rivière Saskatchewan et du fleuve Nelson",,,,,,7,,,,,934,2,"B2ab(ii,iii,v)",2016-11-27,Threatened/Menacée,2013-03-08,https://species-registry.canada.ca/index-en.html#/species/934-641,IMBIV39121,ELEMENT_GLOBAL.2.793171,793171,G5T1Q,2006-05-11,N1,2022-09-08,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.793171,Freshwater,N,MB,Manitoba,Manitoba,,,,,,,,,Threatened,"Not Evaluated (NE)","MB119, "
209,,Animalia,Arthropoda,Insecta,Lepidoptera,Riodinidae,Invertebrates,Population,"Apodemia mormo pop. 2","Mormon Metalmark",Mormon,,,"Prairie population","Population des Prairies",,,,,,7,,,,,753,3,,2014-05-02,"Special Concern/Préoccupante",2005-01-12,https://species-registry.canada.ca/index-en.html#/species/753-295,IILEPH7016,ELEMENT_GLOBAL.79.732595,777415,G5TUQ,2006-05-15,N2,2019-10-10,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.79.732595,Terrestrial,N,SK,Saskatchewan,Saskatchewan,,,,,,,,,"Special Concern","Not Evaluated (NE)","SK118, "
175,,Animalia,Mollusca,Bivalvia,Unionoida,Unionidae,Invertebrates,Species,"Epioblasma rangiana","Northern Riffleshell","Épioblasme ventrue",,,,,,,,,,7,,,,,582,1,B1ab(iii)+2ab(iii),2010-04-25,"Endangered/En voie de disparition",2003-06-05,https://species-registry.canada.ca/index-en.html#/species/582-234,IMBIV16184,ELEMENT_GLOBAL.2.118738,118738,G1,2019-10-09,N1,2022-09-24,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.118738,Freshwater,N,ON,Ontario,Ontario,,,146400,,,"COSEWIC 2010a",,,Endangered,"Not Evaluated (NE)","ON188, ON189, "
164,,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Invertebrates,Species,"Copablepharon grandis","Pale Yellow Dune Moth","Noctuelle jaune pâle des dunes",,,,,,,,,,7,,,,,998,3,,2018-11-01,"Special Concern/Préoccupante",2010-02-23,https://species-registry.canada.ca/index-en.html#/species/998-682,IILEYKP010,ELEMENT_GLOBAL.2.788685,788685,G4G5,2007-12-11,N3,2022-12-07,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.788685,Terrestrial,N,"AB, MB, SK","Alberta, Manitoba, Saskatchewan","Alberta, Manitoba, Saskatchewan",,,,,,,,,"Special Concern","Not Evaluated (NE)","SK133, "
174,,Animalia,Mollusca,Bivalvia,Unionoida,Unionidae,Invertebrates,Species,"Cyclonaias tuberculata","Purple Wartyback","Mulette verruqueuse",,,,,,,,6018,62905357,4,,2015-06-10,Decreasing,https://www.iucnredlist.org/species/6018/62905357,1519,2,B1ab(iii)+2ab(iii),2021-05-01,,,https://species-registry.canada.ca/index-en.html#/species/1519-1093,IMBIV09010,ELEMENT_GLOBAL.2.120552,120552,G5,2016-02-10,N2,2022-06-30,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.120552,Freshwater,N,ON,Ontario,Ontario,,,,,,,,,Threatened,"Near Threatened (NT)","ON188, ON189, ON180, "
134,,Animalia,Arthropoda,Insecta,Odonata,Gomphidae,Invertebrates,Species,"Phanogomphus quadricolor","Rapids Clubtail","Gomphe des rapides",,,,,,,,51179112,125537394,5,,2014-11-28,Stable,https://www.iucnredlist.org/species/51179112/125537394,1006,1,B2ab(iii),2018-11-01,"Endangered/En voie de disparition",2010-02-23,https://species-registry.canada.ca/index-en.html#/species/1006-694,IIODO08380,ELEMENT_GLOBAL.2.118053,118053,G3G4,2005-08-29,N2,2021-11-02,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.118053,Freshwater,N,"ON, QC","Ontario, Quebec","Ontario, Québec",,,,,,,,,Endangered,"Least Concern (LC)","ON176, ON181, ON183, "
183,,Animalia,Mollusca,Bivalvia,Unionoida,Unionidae,Invertebrates,Species,"Paetulunio fabalis","Rayed Bean","Villeuse haricot",,,,,,,,22973,2783483,2,A2ace,2012-04-01,,https://www.iucnredlist.org/species/22973/2783483,581,1,B1ab(iii)+2ab(iii),2010-04-25,"Endangered/En voie de disparition",2003-06-05,https://species-registry.canada.ca/index-en.html#/species/581-233,IMBIV47050,ELEMENT_GLOBAL.2.116088,116088,G2,2020-10-20,N1,2022-09-19,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.116088,Freshwater,N,ON,Ontario,Ontario,,,,,,,,,Endangered,"Endangered (EN)","ON189, "
226,,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Invertebrates,Species,"Haploa reversa","Reversed Haploa Moth","Haploa inversé",,,,,,,,,,7,,,,,1481,1,"B2ab(iii,v)",2019-11-01,"Endangered/En voie de disparition",2024-06-10,https://species-registry.canada.ca/index-en.html#/species/1481-1061,IILEY22030,ELEMENT_GLOBAL.2.112210,112210,G5,2019-12-27,N1,2022-08-10,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.112210,Terrestrial,N,ON,Ontario,Ontario,,,,,,,,,Endangered,"Not Evaluated (NE)","ON185, "
182,,Animalia,Mollusca,Bivalvia,Unionoida,Unionidae,Invertebrates,None,"Pleurobema sintoxia","Round Pigtoe","Pleurobème ronde;  Pleurobème écarlate",,,,,,,,173061,1377100,5,,2012-03-12,Unknown,https://www.iucnredlist.org/species/173061/1377100,,6,,,,,https://species-registry.canada.ca/index-en.html#/species/817-367,IMBIV35070,ELEMENT_GLOBAL.2.109664,109664,G4,2024-06-27,NNR,2024-07-02,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.109664,Freshwater,N,,,,,,,,,,,,"Not Assessed","Least Concern (LC)","ON189, "
184,,Animalia,Mollusca,Bivalvia,Unionoida,Unionidae,Invertebrates,Species,"Simpsonaias ambigua","Salamander Mussel","Mulette du Necture",,,,,,,,20247,62905797,3,A2ce,2015-07-15,Decreasing,https://www.iucnredlist.org/species/20247/62905797,671,1,B1ab(iii)+2ab(iii),2011-05-06,"Endangered/En voie de disparition",2003-06-05,https://species-registry.canada.ca/index-en.html#/species/671-263,IMBIV41010,ELEMENT_GLOBAL.2.114652,114652,G1G2,2023-09-06,N1,2022-09-19,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.114652,Freshwater,N,ON,Ontario,Ontario,,,,,,,,,Endangered,"Vulnerable (VU)","ON189, "
309,,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Invertebrates,Species,"Copablepharon fuscum","Sand-verbena Moth","Noctuelle de l'abronie",,,,,,,,,,7,,,,,789,1,B2ab(iii),2013-11-01,"Endangered/En voie de disparition",2005-07-14,https://species-registry.canada.ca/index-en.html#/species/789-328,IILEYKP140,ELEMENT_GLOBAL.2.728783,728783,G1G2,2024-09-10,N1,2022-10-11,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.728783,Terrestrial,N,BC,"British Columbia",Colombie-Britannique,,,,,,,,,Endangered,"Not Evaluated (NE)","BC272, "
176,,Animalia,Mollusca,Bivalvia,Unionoida,Unionidae,Invertebrates,Species,"Epioblasma triquetra",Snuffbox,"Épioblasme tricorne",,,,,,,,7889,69491022,2,A2ce,2015-05-26,Decreasing,https://www.iucnredlist.org/species/7889/69491022,670,1,B1ab(iii)+2ab(iii),2011-11-25,"Endangered/En voie de disparition",2003-06-05,https://species-registry.canada.ca/index-en.html#/species/670-262,IMBIV16190,ELEMENT_GLOBAL.2.112023,112023,G2G3,2023-12-06,N1,2022-09-18,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.112023,Freshwater,N,ON,Ontario,Ontario,51250,,,"NatureServe 2021",,,,,Endangered,"Endangered (EN)","ON188, ON189, "
215,,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Invertebrates,Species,"Copestylum satur","Spotted-wing Bromeliad Fly","Syrphe saturé",,,,,,,,,,7,,,,,,6,,,,,,IIDIP5X050,ELEMENT_GLOBAL.2.950481,950481,G5,2023-12-18,N1N3,2023-12-18,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.950481,Terrestrial,N,"AB, SK","Alberta, Saskatchewan","Alberta, Saskatchewan",,,,,,,,,"Not Assessed","Not Evaluated (NE)","SK118, "
212,,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Invertebrates,Species,"Copestylum vittatum","Striped Bromeliad Fly","Syrphe aux yeux rayés",,,,,,,,,,7,,,,,,6,,,,,,IIDIP5X020,ELEMENT_GLOBAL.2.895961,895961,G5,2021-09-30,N1?,2017-08-13,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.895961,Terrestrial,N,"AB, BC, SK","Alberta, British Columbia, Saskatchewan","Alberta, Colombie-Britannique, Saskatchewan",,,,,,,,,"Not Assessed","Not Evaluated (NE)","SK118, "
231,,Animalia,Arthropoda,Arachnida,Araneae,Oxyopidae,Invertebrates,Species,"Oxyopes salticus","Striped Lynx Spider",,,,,,,,,,,7,,,,,,6,,,,,,ILARAP2010,ELEMENT_GLOBAL.2.108827,108827,GNR,,NNR,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.108827,,N,ON,Ontario,Ontario,,,,,,,,,"Not Assessed","Not Evaluated (NE)","ON185, "
307,,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Invertebrates,Subspecies,"Euphydryas editha taylori","Taylor's Checkerspot","Damier de Taylor",,,,,,,,,,7,,,,,649,1,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",2011-05-06,"Endangered/En voie de disparition",2003-06-05,https://species-registry.canada.ca/index-en.html#/species/649-257,IILEPK405K,ELEMENT_GLOBAL.2.107069,107069,G4G5T1,2008-09-30,N1,2022-09-08,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.107069,Terrestrial,N,BC,"British Columbia",Colombie-Britannique,,,,,,,,,Endangered,"Not Evaluated (NE)","BC272, "
180,,Animalia,Mollusca,Bivalvia,Unionoida,Unionidae,Invertebrates,Species,"Obliquaria reflexa","Threehorn Wartyback","Obliquaire à trois cornes",,,,,,,,173049,62905458,5,,2016-08-31,Decreasing,https://www.iucnredlist.org/species/173049/62905458,1239,2,B2ab(iii),2013-05-03,Threatened/Menacée,2019-08-08,https://species-registry.canada.ca/index-en.html#/species/1239-896,IMBIV30010,ELEMENT_GLOBAL.2.109254,109254,G5,2007-04-12,N1,2022-09-18,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.109254,Freshwater,N,ON,Ontario,Ontario,,,,,,,,,Threatened,"Least Concern (LC)","ON189, ON180, "
177,,Animalia,Mollusca,Bivalvia,Unionoida,Unionidae,Invertebrates,Species,"Lampsilis fasciola","Wavy-rayed Lampmussel","Lampsile fasciolée",,,,,,,,189279,1922805,5,,2012-03-05,Stable,https://www.iucnredlist.org/species/189279/1922805,583,3,,2010-04-25,"Special Concern/Préoccupante",2003-06-05,https://species-registry.canada.ca/index-en.html#/species/583-235,IMBIV21070,ELEMENT_GLOBAL.2.116472,116472,G4,2024-06-25,N2,2022-12-07,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.116472,Freshwater,N,ON,Ontario,Ontario,,,2772000,,,"COSEWIC 2010b",,,"Special Concern","Least Concern (LC)","ON188, "
297,,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Invertebrates,Species,"Limenitis weidemeyerii","Weidemeyer's Admiral","Amiral de Weidemeyer",,,,,,,,173004526,173053311,5,,2020-04-15,Unknown,https://www.iucnredlist.org/species/173004526/173053311,635,3,,2012-05-04,"Special Concern/Préoccupante",2003-06-05,,IILEPL3030,ELEMENT_GLOBAL.2.108328,108328,G5,2023-11-13,N1,2022-12-11,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.108328,Terrestrial,N,"AB, ON","Alberta, Ontario","Alberta, Ontario",,,,,,,,,"Special Concern","Least Concern (LC)","AB135, "
